# features,  error,  precision,  recall,  fischer
2.00000 0.32253 0.15213 0.30015 0.20096
3.00000 0.40638 0.14661 0.39044 0.21296
4.00000 0.42048 0.17493 0.60253 0.26799
5.00000 0.42524 0.17328 0.60291 0.26596
6.00000 0.40754 0.18133 0.60157 0.27636
7.00000 0.32427 0.17637 0.39098 0.24192
8.00000 0.25753 0.19071 0.29185 0.22845
9.00000 0.23832 0.20268 0.23884 0.21884
10.00000 0.23734 0.20992 0.25197 0.22852
11.00000 0.20192 0.21027 0.18678 0.19737
12.00000 0.20329 0.21230 0.19481 0.20260
13.00000 0.20413 0.21239 0.20008 0.20526
14.00000 0.20569 0.21400 0.20923 0.21069
15.00000 0.20778 0.21241 0.20874 0.21001
16.00000 0.21156 0.20701 0.21220 0.20891
