# features,  error,  precision,  recall,  fischer
2.00000 0.44653 0.14423 0.42885 0.21469
3.00000 0.44206 0.14503 0.45090 0.21772
4.00000 0.45849 0.18316 0.73010 0.28783
5.00000 0.45927 0.18257 0.72833 0.28694
6.00000 0.35478 0.20500 0.61135 0.29659
7.00000 0.36112 0.20563 0.62035 0.29917
8.00000 0.36242 0.20498 0.62574 0.29897
9.00000 0.37276 0.20480 0.64851 0.30820
10.00000 0.38056 0.20473 0.66055 0.31006
11.00000 0.37865 0.20325 0.65058 0.30715
12.00000 0.37936 0.20299 0.65307 0.30731
13.00000 0.37622 0.20418 0.65937 0.30965
14.00000 0.37550 0.20490 0.66176 0.31071
15.00000 0.37542 0.20408 0.64092 0.30767
16.00000 0.37949 0.20280 0.64032 0.30615
