# features,  error,  precision,  recall,  fischer
2.00000 0.34250 0.04324 0.33333 0.07655
3.00000 0.34250 0.04324 0.33333 0.07655
4.00000 0.34250 0.04324 0.33333 0.07655
5.00000 0.34250 0.04324 0.33333 0.07655
6.00000 0.34250 0.04324 0.33333 0.07655
7.00000 0.34250 0.04324 0.33333 0.07655
8.00000 0.34250 0.04324 0.33333 0.07655
9.00000 0.34250 0.04324 0.33333 0.07655
10.00000 0.34250 0.04324 0.33333 0.07655
11.00000 0.34250 0.04324 0.33333 0.07655
12.00000 0.34250 0.04324 0.33333 0.07655
13.00000 0.34250 0.04324 0.33333 0.07655
14.00000 0.34250 0.04324 0.33333 0.07655
15.00000 0.34250 0.04324 0.33333 0.07655
16.00000 0.34250 0.04324 0.33333 0.07655
