# features,  error,  precision,  recall,  fischer
2.00000 0.45701 0.15570 0.51279 0.23842
3.00000 0.47054 0.15304 0.51281 0.23523
4.00000 0.47463 0.15269 0.52887 0.23638
5.00000 0.46516 0.15379 0.54025 0.23891
6.00000 0.48147 0.15328 0.55813 0.24020
7.00000 0.40380 0.19841 0.66722 0.30568
8.00000 0.40359 0.19829 0.68198 0.30631
9.00000 0.39798 0.19914 0.67448 0.30613
10.00000 0.40085 0.19981 0.67855 0.30752
11.00000 0.37528 0.20734 0.64556 0.31199
12.00000 0.37673 0.20667 0.64437 0.31107
13.00000 0.37969 0.20575 0.65109 0.31085
14.00000 0.38046 0.20357 0.64390 0.30777
15.00000 0.38034 0.20194 0.63671 0.30493
16.00000 0.37949 0.20280 0.64032 0.30615
