# features,  error,  precision,  recall,  fischer
2.00000 0.49775 0.13411 0.46716 0.20823
3.00000 0.52025 0.13180 0.49268 0.20771
4.00000 0.50636 0.13574 0.52612 0.21554
5.00000 0.48030 0.13999 0.49464 0.21780
6.00000 0.57697 0.04662 0.33333 0.08180
7.00000 0.57697 0.04662 0.33333 0.08180
8.00000 0.57697 0.04662 0.33333 0.08180
9.00000 0.57697 0.04662 0.33333 0.08180
10.00000 0.57697 0.04662 0.33333 0.08180
11.00000 0.57697 0.04662 0.33333 0.08180
12.00000 0.57697 0.04662 0.33333 0.08180
13.00000 0.57697 0.04662 0.33333 0.08180
14.00000 0.57697 0.04662 0.33333 0.08180
15.00000 0.57697 0.04662 0.33333 0.08180
16.00000 0.57697 0.04662 0.33333 0.08180
