# features,  error,  precision,  recall,  fischer
2.00000 0.43026 0.15293 0.49146 0.23216
3.00000 0.49466 0.15001 0.53687 0.23386
4.00000 0.49676 0.15281 0.55432 0.23847
5.00000 0.47989 0.15664 0.57119 0.24516
6.00000 0.53065 0.15093 0.59804 0.24044
7.00000 0.37833 0.18863 0.54146 0.27978
8.00000 0.30464 0.17488 0.32965 0.22787
9.00000 0.26457 0.17253 0.24735 0.20295
10.00000 0.22855 0.18663 0.22252 0.20150
11.00000 0.23115 0.18415 0.22308 0.20044
12.00000 0.23305 0.17995 0.21997 0.19660
13.00000 0.22778 0.19598 0.22943 0.20964
14.00000 0.22942 0.19419 0.23073 0.20941
15.00000 0.23149 0.19366 0.23433 0.21054
16.00000 0.22697 0.18976 0.21145 0.19952
