# features,  error,  precision,  recall,  fischer
2.00000 0.37629 0.16412 0.42220 0.23622
3.00000 0.41327 0.15722 0.44627 0.23219
4.00000 0.43683 0.15519 0.48895 0.23528
5.00000 0.44420 0.15746 0.52424 0.24175
6.00000 0.47922 0.15696 0.56773 0.24586
7.00000 0.43444 0.19157 0.71061 0.30152
8.00000 0.43435 0.19338 0.72537 0.30476
9.00000 0.42840 0.19340 0.71425 0.30364
10.00000 0.43720 0.19286 0.72316 0.30403
11.00000 0.42476 0.19598 0.70399 0.30590
12.00000 0.42678 0.19514 0.70459 0.30491
13.00000 0.42691 0.19485 0.71003 0.30492
14.00000 0.42192 0.19658 0.71028 0.30705
15.00000 0.41908 0.19559 0.69684 0.30445
16.00000 0.41409 0.19782 0.69335 0.30683
